time,temperature,humidity
0.00031953891118367513,25.44,63.35
0.0020210636324352687,25.39,63.3
0.0026104480028152468,25.43,63.3
0.0031945575608147516,25.44,63.46
0.0037861629989412097,25.45,63.99
0.004365830686357286,25.46,64.58
0.004946608874532911,25.47,65.12
0.005538769496811761,25.48,65.43
0.006123156680001153,25.49,65.62
0.006707543995645311,25.49,65.73
0.007291931245062087,25.5,65.71
0.007876040803061592,25.5,65.64
0.0084629268778695,25.52,65.59
0.009055087235238818,25.52,65.53
0.009635032547844782,25.53,65.42
0.010223861667844985,25.53,65.32
0.010804084671868218,25.55,65.21
0.011384030050701566,25.55,65.08
0.011965085864067077,25.56,64.94
0.012553915050294665,25.56,64.81
0.013138579924901327,25.57,64.7
0.013718802862697178,25.58,64.6
0.014307076732317606,25.59,64.51
0.014888132545683119,25.59,64.39
0.015468077924516465,25.6,64.28
0.01605718473593394,25.6,64.16
0.01663657479816013,25.61,64.06
0.017220684422387018,25.62,63.97
0.017805071738031177,25.63,63.87
0.018389736546410455,25.64,63.77
0.018970792359775966,25.66,63.68
0.01955545730061001,25.66,63.59
0.020133181810379028,25.66,63.47
0.020715903176201714,25.69,63.41
0.0213047323624293,25.7,63.31
0.0218885643614663,25.7,63.23
0.022472396360503303,25.7,63.13
0.02305178642272949,25.71,63.06
0.023636451363563536,25.74,62.98
0.024224447674221463,25.76,62.9
0.024805225796169703,25.78,62.81
0.025384893549813166,25.77,62.71
0.02596483892864651,25.79,62.62
0.02654450668228997,25.79,62.54
0.027129449115859138,25.81,62.47
0.02771300348970625,25.82,62.39
0.02829739080535041,25.85,62.33
0.028881777988539803,25.87,62.25
0.029466165237956577,25.87,62.17
0.030046665867169697,25.9,62.09
0.0306304978662067,25.89,62.0
0.031209610369470384,25.89,61.93
0.031787334746784635,25.9,61.88
0.0323697786198722,25.92,61.81
0.03295805255572001,25.94,61.77
0.03354132937060462,25.94,61.71
0.034125716620021396,25.96,61.64
0.03470593955781725,26.0,61.59
0.03529032680723402,26.0,61.51
0.035873325996928745,26.01,61.44
0.036453271309534706,26.02,61.38
0.037038213809331255,26.06,61.33
0.03762260112497542,26.07,61.25
0.038205600182215374,26.08,61.18
0.038784990376896325,26.09,61.12
0.039368822309705946,26.11,61.06
0.039947657254007125,26.13,61.01
0.040532322062386404,26.13,60.94
0.04111254506640964,26.13,60.88
0.041692768004205495,26.15,60.84
0.04227326863341861,26.16,60.8
0.04286098731888665,26.18,60.75
0.04344148788187239,26.19,60.7
0.04402615275647905,26.22,60.65
0.04460970719655355,26.2,60.59
0.04519381675455305,26.22,60.55
0.04577848162915971,26.27,60.51
0.046359815133942495,26.28,60.43
0.046943924691942,26.27,60.36
0.047528589566548665,26.27,60.33
0.048108812570571896,26.28,60.28
0.048689313133557635,26.3,60.24
0.04927009132173326,26.32,60.21
0.049853923320770266,26.35,60.15
0.05043331351545122,26.36,60.08
0.05101770069864061,26.38,60.02
0.0516018103228675,26.41,59.98
0.05218175563547346,26.42,60.21
0.05276669813527001,26.45,60.84
0.0533455330795712,26.46,61.65
0.05393075313833025,26.5,62.71
0.05451874944898817,26.49,63.69
0.05509952770339118,26.51,64.32
0.055688356823391384,26.54,64.66
0.05627302163177066,26.53,64.81
0.05685268931918674,26.53,64.84
0.05743735432624817,26.56,64.82
0.058027016255590654,26.55,64.74
0.05861001544528537,26.59,64.62
0.059194125069512264,26.58,64.45
0.059774070382118225,26.58,64.3
0.06035873525672489,26.61,64.15
0.06094284501340654,26.6,63.96
0.06152667687998878,26.61,63.82
0.06211078657044305,26.62,63.66
0.06269045425785913,26.64,63.5
