,time,temperature,humidity
63,1658857417.1844664,36.5,58.7
64,1658857417.4583108,36.5,58.7
65,1658857417.7326925,36.4,58.8
66,1658857418.003538,36.5,58.8
67,1658857418.2779236,36.4,58.8
68,1658857418.5518515,36.4,58.8
69,1658857418.826695,36.4,58.9
70,1658857419.0970905,36.4,58.9
71,1658857419.37094,36.4,58.9
72,1658857419.6453307,36.5,58.9
73,1658857419.9201758,36.5,59.0
74,1658857420.1905708,36.5,59.0
75,1658857420.4649901,36.5,59.0
76,1658857420.7390387,36.5,59.1
77,1658857421.013882,36.5,59.1
78,1658857421.2842767,36.5,59.1
79,1658857421.5580354,36.5,59.1
80,1658857421.8328846,36.5,59.2
81,1658857422.1068282,36.4,59.2
82,1658857422.3776786,36.5,59.2
83,1658857422.652107,36.4,59.2
84,1658857422.9269533,36.5,59.3
85,1658857423.2008765,36.5,59.3
86,1658857423.4714046,36.5,59.3
87,1658857423.7455595,36.5,59.4
88,1658857424.020406,36.5,59.4
89,1658857424.290816,36.5,59.4
90,1658857424.5652156,36.5,59.4
91,1658857424.8390582,36.5,59.4
92,1658857425.113568,36.5,59.5
93,1658857425.3844128,36.5,59.5
94,1658857425.658802,36.5,59.5
95,1658857425.932651,36.4,59.5
96,1658857426.2030404,36.5,59.5
97,1658857426.4774308,36.5,59.5
98,1658857426.752278,36.5,59.5
99,1658857427.026127,36.5,59.5
100,1658857427.296529,36.5,59.5
101,1658857427.57092,36.5,59.5
102,1658857427.8457687,36.5,59.5
103,1658857428.1196363,36.5,59.5
104,1658857428.3904815,36.5,59.5
105,1658857428.6648834,36.4,59.5
106,1658857428.9387295,36.5,59.5
107,1658857429.2091172,36.5,59.5
108,1658857429.4842324,36.5,59.5
109,1658857429.7580779,36.5,59.5
110,1658857430.0329237,36.5,59.5
111,1658857430.3033109,36.4,59.5
112,1658857430.5776997,36.5,59.5
113,1658857430.851546,36.5,59.5
114,1658857431.1259382,36.5,59.5
115,1658857431.3967867,36.5,59.5
116,1658857431.6711652,36.4,59.5
117,1658857431.9450793,36.5,59.5
118,1658857432.2154694,36.5,59.5
119,1658857432.4899383,36.4,59.5
120,1658857432.7647839,36.5,59.5
121,1658857433.0388541,36.4,59.5
122,1658857433.3092387,36.5,59.5
123,1658857433.5836198,36.4,59.5
124,1658857433.8584661,36.5,59.5
125,1658857434.1322918,36.5,59.5
126,1658857434.4031403,36.5,59.4
127,1658857434.6775296,36.5,59.5
128,1658857434.951383,36.4,59.5
129,1658857435.2220936,36.5,59.4
130,1658857435.4964635,36.5,59.4
131,1658857435.7713099,36.5,59.5
132,1658857436.045363,36.5,59.5
133,1658857436.3157535,36.5,59.4
134,1658857436.5901387,36.4,59.4
135,1658857436.8639927,36.5,59.4
136,1658857437.1353765,36.5,59.4
137,1658857437.409223,36.5,59.4
